Фамилия и имя;Номер студенческого билета;Выбранная cложность (первый семестр);Оценка за курсовую работу (первый семестр);Выбранная cложность (второй семестр);Оценка за курсовую работу (второй семестр)
Лазарева Неонила;238101;4;4;3;2
Власова Татьяна;238102;5;3;5;3
Михеева Изольда;238103;3;3;3;4
Бирюкова Жасмин;238104;4;3;4;3
Галкина Инесса;238105;2;4;2;5
Титова Индира;238106;3;3;4;2
Хохлова Ксения;238107;4;5;5;4
Большакова Ника;238108;5;2;5;2
Волкова Яна;238109;4;4;5;4
Григорьева Береслава;238110;5;5;3;2
Воронова Андриана;238111;3;4;4;3
Красильникова Милиса;238112;5;2;5;4
Смирнова Фаина;238113;3;3;4;3
Соболева Нора;238114;4;4;5;5
Суханова Виоланта;238115;4;5;3;2
Костина Динара;238116;5;3;4;4
Жданова Весняна;238117;3;4;4;5
