Фамилия и имя;Номер студенческого билета;Выбранная cложность (первый семестр);Оценка за курсовую работу (первый семестр);Выбранная cложность (второй семестр);Оценка за курсовую работу (второй семестр)
Рогов Любомир;230301;3;4;3;2
Комаров Петр;230302;4;3;4;4
Мартынов Анатолий;230303;5;2;5;3
Громов Юрий;230304;3;5;4;5
Галкин Ираклий;230305;4;4;3;3
Игнатьев Дональд;230306;5;3;4;4
Данилов Панкратий;230307;3;2;5;5
Колобов Евдоким;230308;4;3;4;3
Никонов Кондрат;230309;5;4;3;4
Ситников Юстин;230310;3;3;4;2
Яковлев Эрик;230311;4;2;5;3
Дмитриев Михаил;230312;5;5;4;4
Владимиров Илья;230313;3;3;3;3
Анисимов Исак;230314;4;4;4;4
Морозов Мирослав;230315;5;3;5;2
Игнатов Рубен;230316;3;2;3;4
Громов Георгий;230317;4;3;4;5
